algorithm	benchmark	containers	elements	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
invokeinterface	axpy	linearfunctions-vectors-vectors	m22-v2-v2	10	linearfunctions-m22-vectors-v2-vectors-v2	109.689646	LENOVO.20ERCTO1WW	109.954566	110.7737226	1048576	20210130-1211	6	50	0.05	6	55.3908701	112.14236650000001	216683.63646466308	2094
protocols	axpy	linearfunctions-vectors-vectors	m22-v2-v2	4	linearfunctions-m22-vectors-v2-vectors-v2	275.78753850000004	LENOVO.20ERCTO1WW	277.6267835	277.83089450000006	1048576	20210130-1214	6	50	0.05	6	55.5665868	279.52732975	216683.63646466308	511
instanceof	axpy	linearfunctions-vectors-vectors	m22-v2-v2	9	linearfunctions-m22-vectors-v2-vectors-v2	112.01529600000002	LENOVO.20ERCTO1WW	113.63674044444444	113.27570555555556	1048576	20210130-1218	6	50	0.05	6	50.9736935	114.30225266666667	216683.63646466308	1387
instancefn	axpy	linearfunctions-vectors-vectors	m22-v2-v2	9	linearfunctions-m22-vectors-v2-vectors-v2	114.63605155555557	LENOVO.20ERCTO1WW	115.62611822222222	115.88009955555556	1048576	20210130-1222	6	50	0.05	6	52.145522	116.98869044444446	216683.63646466308	1381
defmulti	axpy	linearfunctions-vectors-vectors	m22-v2-v2	2	linearfunctions-m22-vectors-v2-vectors-v2	515.560246	LENOVO.20ERCTO1WW	516.694471	521.1929680000001	1048576	20210130-1226	6	50	0.05	6	52.1164193	527.362171	216683.63404614502	307
hashmaps	axpy	linearfunctions-vectors-vectors	m22-v2-v2	5	linearfunctions-m22-vectors-v2-vectors-v2	218.529636	LENOVO.20ERCTO1WW	219.466226	223.7985896	1048576	20210130-1229	6	50	0.05	6	55.9527503	241.535716	216683.63404614502	641
signatures	axpy	linearfunctions-vectors-vectors	m22-v2-v2	5	linearfunctions-m22-vectors-v2-vectors-v2	201.255996	LENOVO.20ERCTO1WW	203.220156	204.19455960000002	1048576	20210130-1233	6	50	0.05	6	51.0459423	206.91505600000002	216683.63404614502	805
nohierarchy	axpy	linearfunctions-vectors-vectors	m22-v2-v2	6	linearfunctions-m22-vectors-v2-vectors-v2	177.01849600000003	LENOVO.20ERCTO1WW	178.12223766666668	178.5935836666667	1048576	20210130-1237	6	50	0.05	6	53.5635823	179.8526626666667	216683.63404614502	771
dynafun	axpy	linearfunctions-vectors-vectors	m22-v2-v2	6	linearfunctions-m22-vectors-v2-vectors-v2	194.05378683333336	LENOVO.20ERCTO1WW	194.98157933333334	196.23984333333337	1048576	20210130-1241	6	50	0.05	6	58.870127	198.85761266666668	216683.63404614502	711
dynamap	axpy	linearfunctions-vectors-vectors	m22-v2-v2	6	linearfunctions-m22-vectors-v2-vectors-v2	184.25874600000003	LENOVO.20ERCTO1WW	183.616196	185.83719366666668	1048576	20210130-1245	6	50	0.05	6	55.7474436	187.91692933333334	216683.63404614502	841
